feature,mean_importance,std_importance,min_importance,max_importance,category,cumulative_importance,cumulative_pct
avg_sentiment_compound,0.06545251893084668,0.006272222650330164,0.05936351434531178,0.07189316526403938,Sentiment,0.06545251893084668,6.545251893084668
HL_spread,0.06237056225058215,0.012759661933339427,0.04983582531788724,0.07534384230106281,Technical,0.12782308118142882,12.782308118142883
Price_change,0.060706541258300765,0.020493955962183057,0.04736578679143589,0.0843038329675323,Technical,0.1885296224397296,18.85296224397296
SMA_50,0.05864034412010014,0.02282206560532176,0.044322443134104376,0.08495901700174517,Technical,0.24716996655982973,24.716996655982975
Volume_change,0.051088060754067986,0.0028116470811416212,0.048046089195021034,0.05359147519988449,Technical,0.2982580273138977,29.82580273138977
MACD_diff,0.048303812930993555,0.014812865981226058,0.031716005641729855,0.060210815740947575,Technical,0.3465618402448913,34.65618402448913
SMA_10_20_cross,0.048176708985368445,0.005200732398900026,0.043385197021814995,0.053707537105439844,Technical,0.39473854923025975,39.473854923025975
SMA_20,0.04765359726251797,0.004529730751626599,0.04242647896475193,0.05042959534793168,Technical,0.4423921464927777,44.23921464927777
RSI,0.04517376353093162,0.004506829240917736,0.04249776811183475,0.050377093851591365,Technical,0.4875659100237093,48.75659100237093
MACD,0.042993532625353936,0.008626850313581697,0.034822726956614584,0.05201360843528312,Technical,0.5305594426490632,53.055944264906316
SMA_10,0.04172079928272717,0.005300125238206476,0.03634485498880532,0.046941703476182844,Technical,0.5722802419317904,57.22802419317904
SMA_20_50_cross,0.04077825952981367,0.008780165631505792,0.0353334857905891,0.05090720685034805,Technical,0.613058501461604,61.3058501461604
avg_sentiment_positive,0.040349308382514874,0.003907166881071101,0.03746332889289838,0.044795512209880935,Sentiment,0.6534078098441188,65.34078098441188
MACD_signal,0.03995306811707233,0.0057313668250958665,0.03420403389332106,0.04566660263016479,Technical,0.6933608779611912,69.33608779611912
days_since_last_trade,0.0389681786401568,0.0056855275524494,0.033095209005503966,0.0444456070425507,Advanced Politician,0.732329056601348,73.23290566013479
avg_sentiment_negative,0.03533925363076163,0.0018832444499121065,0.03316467943014885,0.03643201271852233,Sentiment,0.7676683102321096,76.76683102321095
amount_last_60d,0.028199352972211263,0.013497847572813687,0.013536368200976189,0.04010682036844769,Technical,0.7958676632043208,79.58676632043208
net_flow_last_60d,0.026620247906671723,0.012902229465843107,0.012173970888254518,0.03699716754646521,Advanced Politician,0.8224879111109925,82.24879111109925
net_flow_last_90d,0.023242621917926615,0.008385093546610147,0.014083582802824174,0.030541294956144337,Advanced Politician,0.8457305330289191,84.5730533028919
news_count,0.023118133905370614,0.009787663994880865,0.012373504707895264,0.03152575310715185,Sentiment,0.8688486669342897,86.88486669342898
trades_last_60d,0.018126688605077667,0.005323027825403517,0.012361388358527946,0.02285476822588702,Technical,0.8869753555393675,88.69753555393675
dollar_momentum_30d,0.017921094350594777,0.003943854396657154,0.01364822010710644,0.0214216783766467,Advanced Politician,0.9048964498899622,90.48964498899622
trade_momentum_30d,0.015778397094045177,0.005289981406023034,0.010165594231219674,0.020671958388372793,Advanced Politician,0.9206748469840074,92.06748469840073
net_flow_last_30d,0.015087324457505042,0.011536647323616771,0.0040078249059893704,0.0270323649164003,Advanced Politician,0.9357621714415124,93.57621714415124
amount_last_30d,0.014271476901624348,0.007461700477287047,0.009818741517477378,0.02288586734818297,Technical,0.9500336483431367,95.00336483431367
trades_last_90d,0.014182965330090627,0.002118887984891324,0.011742519158526182,0.015554361016859749,Technical,0.9642166136732274,96.42166136732274
amount_last_90d,0.01341228828122163,0.0028267789465157753,0.011495789911891194,0.01665875832776408,Technical,0.9776289019544491,97.76289019544491
trades_last_30d,0.009818193024323796,0.0023334413551912223,0.007174745087786371,0.011591675571070739,Technical,0.9874470949787728,98.74470949787728
sell_amount,0.0026563162413536442,0.0033855678017003683,0.0,0.00646843437768106,Technical,0.9901034112201265,99.01034112201265
total_amount,0.002361714722201768,0.0023540073251578876,0.0008874174856850734,0.00507653526236638,Technical,0.9924651259423283,99.24651259423283
sell_count,0.0017945890404246917,0.0019666855462073113,0.0005065385609014972,0.004058350835713391,Technical,0.994259714982753,99.4259714982753
net_trade_index,0.0017659772833439127,0.0019066157126846157,0.0,0.0037874634664672355,Advanced Politician,0.9960256922660969,99.60256922660969
politician_trade_amount,0.0011478186154330987,0.0011925522832683657,0.0,0.002380564221388843,Basic Politician,0.9971735108815301,99.71735108815301
net_dollar_flow,0.0011283145851072019,0.0013164082400026536,2.4807822543277178e-05,0.0025854050710516475,Advanced Politician,0.9983018254666373,99.83018254666372
conviction_score,0.0009432520172343728,0.0006881371402476908,0.0001977889414475745,0.0015541984282300505,Advanced Politician,0.9992450774838716,99.92450774838716
buy_percentage,0.0005014801113828405,0.0004810340032245917,0.0,0.0009590582333818601,Advanced Politician,0.9997465575952544,99.97465575952545
buy_amount,0.00015515833571554748,0.00026874212067715694,0.0,0.0004654750071466424,Technical,0.99990171593097,99.990171593097
buy_count,9.828406902992992e-05,0.00017023300113444542,0.0,0.0002948522070897898,Technical,0.9999999999999999,99.99999999999999
full_sale_count,0.0,0.0,0.0,0.0,Advanced Politician,0.9999999999999999,99.99999999999999
partial_sale_count,0.0,0.0,0.0,0.0,Advanced Politician,0.9999999999999999,99.99999999999999
politician_buy_count,0.0,0.0,0.0,0.0,Basic Politician,0.9999999999999999,99.99999999999999
