experiment,ticker,train_acc,test_acc,overfit_gap,n_samples,n_features,max_depth,min_child_weight,alpha,gamma,lambda
Baseline,NFLX,1.0,0.5757575757575758,0.4242424242424242,164,25,6,1,0.0,0,1
Baseline,NVDA,1.0,0.41379310344827586,0.5862068965517242,145,25,6,1,0.0,0,1
Baseline,BABA,1.0,0.6774193548387096,0.32258064516129037,153,25,6,1,0.0,0,1
Baseline,QCOM,1.0,0.6666666666666666,0.33333333333333337,120,25,6,1,0.0,0,1
Baseline,MU,1.0,0.41935483870967744,0.5806451612903225,154,25,6,1,0.0,0,1
Baseline,TSLA,1.0,0.52,0.48,122,25,6,1,0.0,0,1
Baseline,AAPL,1.0,0.5365853658536586,0.46341463414634143,201,21,6,1,0.0,0,1
Baseline,MSFT,1.0,0.4146341463414634,0.5853658536585367,201,21,6,1,0.0,0,1
Baseline,GOOGL,1.0,0.5,0.5,178,25,6,1,0.0,0,1
Baseline,AMZN,1.0,0.5121951219512195,0.4878048780487805,201,21,6,1,0.0,0,1
Alpha=1.0,NFLX,1.0,0.7272727272727273,0.2727272727272727,164,25,6,1,1.0,0,1
Alpha=1.0,NVDA,1.0,0.5517241379310345,0.4482758620689655,145,25,6,1,1.0,0,1
Alpha=1.0,BABA,1.0,0.6774193548387096,0.32258064516129037,153,25,6,1,1.0,0,1
Alpha=1.0,QCOM,1.0,0.625,0.375,120,25,6,1,1.0,0,1
Alpha=1.0,MU,1.0,0.3225806451612903,0.6774193548387097,154,25,6,1,1.0,0,1
Alpha=1.0,TSLA,1.0,0.48,0.52,122,25,6,1,1.0,0,1
Alpha=1.0,AAPL,1.0,0.5609756097560976,0.4390243902439024,201,21,6,1,1.0,0,1
Alpha=1.0,MSFT,1.0,0.43902439024390244,0.5609756097560976,201,21,6,1,1.0,0,1
Alpha=1.0,GOOGL,1.0,0.5,0.5,178,25,6,1,1.0,0,1
Alpha=1.0,AMZN,1.0,0.4878048780487805,0.5121951219512195,201,21,6,1,1.0,0,1
Alpha=0.5,NFLX,1.0,0.5454545454545454,0.4545454545454546,164,25,6,1,0.5,0,1
Alpha=0.5,NVDA,1.0,0.5172413793103449,0.48275862068965514,145,25,6,1,0.5,0,1
Alpha=0.5,BABA,1.0,0.7419354838709677,0.25806451612903225,153,25,6,1,0.5,0,1
Alpha=0.5,QCOM,1.0,0.5833333333333334,0.41666666666666663,120,25,6,1,0.5,0,1
Alpha=0.5,MU,1.0,0.3870967741935484,0.6129032258064516,154,25,6,1,0.5,0,1
Alpha=0.5,TSLA,1.0,0.52,0.48,122,25,6,1,0.5,0,1
Alpha=0.5,AAPL,1.0,0.5609756097560976,0.4390243902439024,201,21,6,1,0.5,0,1
Alpha=0.5,MSFT,1.0,0.43902439024390244,0.5609756097560976,201,21,6,1,0.5,0,1
Alpha=0.5,GOOGL,1.0,0.5277777777777778,0.4722222222222222,178,25,6,1,0.5,0,1
Alpha=0.5,AMZN,1.0,0.4878048780487805,0.5121951219512195,201,21,6,1,0.5,0,1
MaxDepth=4,NFLX,1.0,0.5454545454545454,0.4545454545454546,164,25,4,1,0.0,0,1
MaxDepth=4,NVDA,1.0,0.4482758620689655,0.5517241379310345,145,25,4,1,0.0,0,1
MaxDepth=4,BABA,1.0,0.6774193548387096,0.32258064516129037,153,16,4,1,0.0,0,1
MaxDepth=4,QCOM,1.0,0.7083333333333334,0.29166666666666663,120,25,4,1,0.0,0,1
MaxDepth=4,MU,1.0,0.45161290322580644,0.5483870967741935,154,25,4,1,0.0,0,1
MaxDepth=4,TSLA,1.0,0.52,0.48,122,25,4,1,0.0,0,1
MaxDepth=4,AAPL,1.0,0.6097560975609756,0.3902439024390244,201,21,4,1,0.0,0,1
MaxDepth=4,MSFT,1.0,0.43902439024390244,0.5609756097560976,201,21,4,1,0.0,0,1
MaxDepth=4,GOOGL,1.0,0.4722222222222222,0.5277777777777778,178,25,4,1,0.0,0,1
MaxDepth=4,AMZN,1.0,0.4634146341463415,0.5365853658536586,201,21,4,1,0.0,0,1
Depth4+Alpha1.0,NFLX,1.0,0.6666666666666666,0.33333333333333337,164,25,4,1,1.0,0,1
Depth4+Alpha1.0,NVDA,1.0,0.5172413793103449,0.48275862068965514,145,25,4,1,1.0,0,1
Depth4+Alpha1.0,BABA,1.0,0.6451612903225806,0.3548387096774194,153,25,4,1,1.0,0,1
Depth4+Alpha1.0,QCOM,1.0,0.5833333333333334,0.41666666666666663,120,25,4,1,1.0,0,1
Depth4+Alpha1.0,MU,1.0,0.3225806451612903,0.6774193548387097,154,25,4,1,1.0,0,1
Depth4+Alpha1.0,TSLA,1.0,0.48,0.52,122,25,4,1,1.0,0,1
Depth4+Alpha1.0,AAPL,1.0,0.6097560975609756,0.3902439024390244,201,21,4,1,1.0,0,1
Depth4+Alpha1.0,MSFT,1.0,0.3902439024390244,0.6097560975609756,201,21,4,1,1.0,0,1
Depth4+Alpha1.0,GOOGL,1.0,0.5277777777777778,0.4722222222222222,178,25,4,1,1.0,0,1
Depth4+Alpha1.0,AMZN,1.0,0.4878048780487805,0.5121951219512195,201,21,4,1,1.0,0,1
